# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 staged-clock path
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
185	phy	apcie-phy-ip-auspma-tunables	0x00417052088	4	RMW	0x00000fff	0x00000fff
186	phy	apcie-phy-ip-auspma-tunables	0x0041705209c	4	RMW	0x0fc00000	0x05400000
187	phy	apcie-phy-ip-auspma-tunables	0x004170520b8	4	RMW	0xff03e000	0xaa03e000
188	phy	apcie-phy-ip-auspma-tunables	0x004170520bc	4	RMW	0x00060fff	0x00040faa
189	phy	apcie-phy-ip-auspma-tunables	0x004170520c0	4	RMW	0x3ff80000	0x14500000
190	phy	apcie-phy-ip-auspma-tunables	0x004170520c4	4	RMW	0x0000ffff	0x00007777
191	phy	apcie-phy-ip-auspma-tunables	0x004170520e0	4	RMW	0x18000000	0x08000000
192	phy	apcie-phy-ip-auspma-tunables	0x004170520e8	4	RMW	0x001ff000	0x00002000
193	phy	apcie-phy-ip-auspma-tunables	0x0041705210c	4	RMW	0x3fffffff	0x000f4240
194	phy	apcie-phy-ip-auspma-tunables	0x0041705211c	4	RMW	0x00040000	0x00040000
195	phy	apcie-phy-ip-auspma-tunables	0x00417052178	4	RMW	0x03f00000	0x00300000
196	phy	apcie-phy-ip-auspma-tunables	0x004170521b4	4	RMW	0x0003ff00	0x00001500
197	phy	apcie-phy-ip-auspma-tunables	0x004170521bc	4	RMW	0x0003ff00	0x00001500
198	phy	apcie-phy-ip-auspma-tunables	0x004170521c4	4	RMW	0x00000001	0x00000001
199	phy	apcie-phy-ip-auspma-tunables	0x004170521cc	4	RMW	0x00000001	0x00000001
200	phy	apcie-phy-ip-auspma-tunables	0x004170521e8	4	RMW	0x0000000f	0x00000000
201	phy	apcie-phy-ip-auspma-tunables	0x004170521b0	4	RMW	0xffffffff	0x00098924
202	phy	apcie-phy-ip-auspma-tunables	0x004170521b8	4	RMW	0xffffffff	0x00098924
203	phy	apcie-phy-ip-auspma-tunables	0x0041705a000	4	RMW	0x0000000f	0x0000000a
204	phy	apcie-phy-ip-auspma-tunables	0x0041705a008	4	RMW	0x0000000f	0x0000000a
205	phy	apcie-phy-ip-auspma-tunables	0x0041705a00c	4	RMW	0x0000000f	0x0000000a
206	phy	apcie-phy-ip-auspma-tunables	0x0041705a010	4	RMW	0x0000000f	0x0000000a
207	phy	apcie-phy-ip-auspma-tunables	0x0041705a014	4	RMW	0x0000000f	0x0000000a
208	phy	apcie-phy-ip-auspma-tunables	0x0041705a038	4	RMW	0x0000ffff	0x00000271
209	phy	apcie-phy-ip-auspma-tunables	0x0041705a040	4	RMW	0x00000800	0x00000000
210	phy	apcie-phy-ip-auspma-tunables	0x0041705a04c	4	RMW	0x00003fff	0x00000bff
211	phy	apcie-phy-ip-auspma-tunables	0x0041705a050	4	RMW	0x00000001	0x00000001
212	phy	apcie-phy-ip-auspma-tunables	0x0041705a068	4	RMW	0x00000007	0x00000001
213	phy	apcie-phy-ip-auspma-tunables	0x0041705a070	4	RMW	0xfff038e0	0x55b00820
214	phy	apcie-phy-ip-auspma-tunables	0x0041705a084	4	RMW	0xffffffff	0x3e8f4240
215	phy	apcie-phy-ip-auspma-tunables	0x0041705a088	4	RMW	0x00000fff	0x00000fff
216	phy	apcie-phy-ip-auspma-tunables	0x0041705a09c	4	RMW	0x0fc00000	0x05400000
